model,layer,pool,iso,probe,macro_f1,accuracy,balanced_accuracy,baseline,n_classes,n_samples
bert-base-multilingual-cased,3,mean,1,radical,0.41364158658730393,0.4614679567822182,0.36836113403985626,0.06454170631144941,68,6306
bert-base-multilingual-cased,3,mean,1,semantic_field,0.5253752760649312,0.5829896907216494,0.5480459770114943,0.06016597510373444,29,482
bert-base-multilingual-cased,6,char,0,radical,0.4040273817949826,0.44386740581456874,0.3613986400885555,0.06454170631144941,68,6306
bert-base-multilingual-cased,6,char,0,semantic_field,0.5643269374303856,0.614024914089347,0.5857471264367816,0.06016597510373444,29,482
bert-base-multilingual-cased,6,char,1,radical,0.39395187922150293,0.4389500446781477,0.35299538922420787,0.06454170631144941,68,6306
bert-base-multilingual-cased,6,char,1,semantic_field,0.51923528578701,0.5787800687285223,0.5452873563218391,0.06016597510373444,29,482
bert-base-multilingual-cased,6,mean,0,radical,0.378330221027136,0.42705711136609564,0.3421067142742676,0.06454170631144941,68,6306
bert-base-multilingual-cased,6,mean,0,semantic_field,0.5224459831356383,0.5705111683848798,0.5428735632183909,0.06016597510373444,29,482
bert-base-multilingual-cased,6,mean,1,radical,0.37351306383793853,0.42214075564509346,0.3384108142318377,0.06454170631144941,68,6306
bert-base-multilingual-cased,6,mean,1,semantic_field,0.5016415182743782,0.5622207903780069,0.5296551724137931,0.06016597510373444,29,482
bert-base-multilingual-cased,9,char,0,radical,0.3605996340595444,0.41421116991394913,0.3260836219944135,0.06454170631144941,68,6306
bert-base-multilingual-cased,9,char,0,semantic_field,0.5664141605520916,0.6140463917525774,0.5814942528735632,0.06016597510373444,29,482
bert-base-multilingual-cased,9,char,1,radical,0.3565096910255501,0.4099303624145554,0.32344581108568465,0.06454170631144941,68,6306
bert-base-multilingual-cased,9,char,1,semantic_field,0.5249056881815503,0.5767182130584192,0.5427586206896551,0.06016597510373444,29,482
bert-base-multilingual-cased,9,mean,0,radical,0.3266851171584557,0.38630171762656607,0.2941205403628445,0.06454170631144941,68,6306
bert-base-multilingual-cased,9,mean,0,semantic_field,0.49190169983273424,0.53303264604811,0.5042528735632184,0.06016597510373444,29,482
bert-base-multilingual-cased,9,mean,1,radical,0.3226087818529122,0.38344973111421393,0.2924860840421379,0.06454170631144941,68,6306
bert-base-multilingual-cased,9,mean,1,semantic_field,0.478951393434152,0.5310996563573883,0.501264367816092,0.06016597510373444,29,482
bert-base-multilingual-cased,12,char,0,radical,0.31614528117719815,0.37583496608608113,0.2863347745009325,0.06454170631144941,68,6306
bert-base-multilingual-cased,12,char,0,semantic_field,0.4921921902753546,0.5455756013745704,0.5064367816091954,0.06016597510373444,29,482
bert-base-multilingual-cased,12,char,1,radical,0.31022438413592884,0.3715540329097602,0.28422498480928127,0.06454170631144941,68,6306
bert-base-multilingual-cased,12,char,1,semantic_field,0.47510367365336936,0.5352878006872852,0.49379310344827587,0.06016597510373444,29,482
bert-base-multilingual-cased,12,mean,0,radical,0.30112196046685386,0.36188017710392606,0.2748276552664966,0.06454170631144941,68,6306
bert-base-multilingual-cased,12,mean,0,semantic_field,0.4612556409108134,0.5206615120274913,0.4758620689655172,0.06016597510373444,29,482
bert-base-multilingual-cased,12,mean,1,radical,0.2955619030853404,0.35965959147458,0.2699984839936026,0.06454170631144941,68,6306
bert-base-multilingual-cased,12,mean,1,semantic_field,0.45923208974933105,0.5186426116838488,0.475632183908046,0.06016597510373444,29,482
cl-tohoku/bert-base-japanese-char-v3,0,char,0,radical,0.1474250803827152,0.21106723589936296,0.1255758789222155,0.06454170631144941,68,6306
cl-tohoku/bert-base-japanese-char-v3,0,char,0,semantic_field,0.316788692186456,0.3589561855670103,0.3275862068965517,0.06016597510373444,29,482
cl-tohoku/bert-base-japanese-char-v3,0,char,1,radical,0.1400978684070226,0.2088470273007989,0.11929374203563858,0.06454170631144941,68,6306
cl-tohoku/bert-base-japanese-char-v3,0,char,1,semantic_field,0.3341509576314848,0.3672465635738832,0.33482758620689657,0.06016597510373444,29,482
cl-tohoku/bert-base-japanese-char-v3,0,mean,0,radical,0.1478983969957498,0.21075002733473167,0.12588744277599484,0.06454170631144941,68,6306
cl-tohoku/bert-base-japanese-char-v3,0,mean,0,semantic_field,0.315897016812022,0.3568943298969072,0.32620689655172413,0.06016597510373444,29,482
cl-tohoku/bert-base-japanese-char-v3,0,mean,1,radical,0.1400978684070226,0.2088470273007989,0.11929374203563858,0.06454170631144941,68,6306
cl-tohoku/bert-base-japanese-char-v3,0,mean,1,semantic_field,0.3341509576314848,0.3672465635738832,0.33482758620689657,0.06016597510373444,29,482
cl-tohoku/bert-base-japanese-char-v3,3,char,0,radical,0.1286527337315398,0.1885508319184206,0.111814692973854,0.06454170631144941,68,6306
cl-tohoku/bert-base-japanese-char-v3,3,char,0,semantic_field,0.33522414510595644,0.36310137457044667,0.3420689655172414,0.06016597510373444,29,482
cl-tohoku/bert-base-japanese-char-v3,3,char,1,radical,0.13091896421894175,0.19156355922085333,0.11505387143144419,0.06454170631144941,68,6306
cl-tohoku/bert-base-japanese-char-v3,3,char,1,semantic_field,0.35752757266790947,0.3816795532646048,0.3608045977011494,0.06016597510373444,29,482
cl-tohoku/bert-base-japanese-char-v3,3,mean,0,radical,0.12663783519809568,0.18696365800291823,0.11065209904771775,0.06454170631144941,68,6306
cl-tohoku/bert-base-japanese-char-v3,3,mean,0,semantic_field,0.32106113534551284,0.35483247422680414,0.3267816091954023,0.06016597510373444,29,482
cl-tohoku/bert-base-japanese-char-v3,3,mean,1,radical,0.127553065952452,0.1855362194620776,0.11106762961694416,0.06454170631144941,68,6306
cl-tohoku/bert-base-japanese-char-v3,3,mean,1,semantic_field,0.346456268493157,0.3734536082474227,0.3451724137931034,0.06016597510373444,29,482
cl-tohoku/bert-base-japanese-char-v3,6,char,0,radical,0.12330799864319039,0.1793527889595333,0.10780657837589573,0.06454170631144941,68,6306
cl-tohoku/bert-base-japanese-char-v3,6,char,0,semantic_field,0.3182020968731153,0.3485180412371134,0.32632183908045975,0.06016597510373444,29,482
cl-tohoku/bert-base-japanese-char-v3,6,char,1,radical,0.11937141994374975,0.17713245468404196,0.10537083419550686,0.06454170631144941,68,6306
cl-tohoku/bert-base-japanese-char-v3,6,char,1,semantic_field,0.31657271891433875,0.34856099656357387,0.3235632183908046,0.06016597510373444,29,482
cl-tohoku/bert-base-japanese-char-v3,6,mean,0,radical,0.12266256175192751,0.17840154029642158,0.10743818075853517,0.06454170631144941,68,6306
cl-tohoku/bert-base-japanese-char-v3,6,mean,0,semantic_field,0.31733963003968657,0.34849656357388314,0.32482758620689656,0.06016597510373444,29,482
cl-tohoku/bert-base-japanese-char-v3,6,mean,1,radical,0.11925589857539036,0.1766567675140224,0.10498786038905354,0.06454170631144941,68,6306
cl-tohoku/bert-base-japanese-char-v3,6,mean,1,semantic_field,0.3187365962025144,0.3506443298969072,0.3252873563218391,0.06016597510373444,29,482
cl-tohoku/bert-base-japanese-char-v3,9,char,0,radical,0.11957831743732192,0.17332708300081315,0.10392488720101253,0.06454170631144941,68,6306
cl-tohoku/bert-base-japanese-char-v3,9,char,0,semantic_field,0.29872885631771917,0.34237542955326455,0.31057471264367814,0.06016597510373444,29,482
cl-tohoku/bert-base-japanese-char-v3,9,char,1,radical,0.11863323555105436,0.17094713902758735,0.10389480607630323,0.06454170631144941,68,6306
cl-tohoku/bert-base-japanese-char-v3,9,char,1,semantic_field,0.31145801805785767,0.3464561855670103,0.31517241379310346,0.06016597510373444,29,482
cl-tohoku/bert-base-japanese-char-v3,9,mean,0,radical,0.12028869969169853,0.17380277017083265,0.10440803343426386,0.06454170631144941,68,6306
cl-tohoku/bert-base-japanese-char-v3,9,mean,0,semantic_field,0.29708831295303784,0.3402920962199313,0.3082758620689655,0.06016597510373444,29,482
cl-tohoku/bert-base-japanese-char-v3,9,mean,1,radical,0.11684463757964456,0.17031272189832486,0.10277111578597102,0.06454170631144941,68,6306
cl-tohoku/bert-base-japanese-char-v3,9,mean,1,semantic_field,0.3133299392401237,0.34647766323024054,0.31517241379310346,0.06016597510373444,29,482
cl-tohoku/bert-base-japanese-char-v3,12,char,0,radical,0.11595812349396203,0.1668250614874367,0.10213723004258934,0.06454170631144941,68,6306
cl-tohoku/bert-base-japanese-char-v3,12,char,0,semantic_field,0.33289218788733416,0.35891323024054983,0.3367816091954023,0.06016597510373444,29,482
cl-tohoku/bert-base-japanese-char-v3,12,char,1,radical,0.11678985624823864,0.16729999459589212,0.10325892470147968,0.06454170631144941,68,6306
cl-tohoku/bert-base-japanese-char-v3,12,char,1,semantic_field,0.3221850073654404,0.3505584192439863,0.325632183908046,0.06016597510373444,29,482
cl-tohoku/bert-base-japanese-char-v3,12,mean,0,radical,0.11654097541262139,0.16841122998752028,0.10223338906049964,0.06454170631144941,68,6306
cl-tohoku/bert-base-japanese-char-v3,12,mean,0,semantic_field,0.3401418937560311,0.3588487972508591,0.34287356321839074,0.06016597510373444,29,482
cl-tohoku/bert-base-japanese-char-v3,12,mean,1,radical,0.11475090396954249,0.1679360455252102,0.10162749587354172,0.06454170631144941,68,6306
cl-tohoku/bert-base-japanese-char-v3,12,mean,1,semantic_field,0.33184167534002257,0.35259879725085913,0.33448275862068966,0.06016597510373444,29,482
glyph_only/resnet18,0,char,0,radical,0.787891712017958,0.8588648105860189,0.7822952646360981,0.06454170631144941,68,6306
glyph_only/resnet18,0,char,0,semantic_field,0.422735076507896,0.4833333333333334,0.4380459770114943,0.06016597510373444,29,482
glyph_only/resnet18,0,char,1,radical,0.7876737180603932,0.856009305119701,0.7801153842324414,0.06454170631144941,68,6306
glyph_only/resnet18,0,char,1,semantic_field,0.44629498403332074,0.5082689003436426,0.45999999999999996,0.06016597510373444,29,482
glyph_only/resnet18,0,mean,0,radical,0.787891712017958,0.8588648105860189,0.7822952646360981,0.06454170631144941,68,6306
glyph_only/resnet18,0,mean,0,semantic_field,0.422735076507896,0.4833333333333334,0.4380459770114943,0.06016597510373444,29,482
glyph_only/resnet18,0,mean,1,radical,0.7876737180603932,0.856009305119701,0.7801153842324414,0.06454170631144941,68,6306
glyph_only/resnet18,0,mean,1,semantic_field,0.44629498403332074,0.5082689003436426,0.45999999999999996,0.06016597510373444,29,482
hfl/chinese-bert-wwm-ext,0,char,0,radical,0.49154073069675636,0.5775476912520061,0.4615486764235011,0.06454170631144941,68,6306
hfl/chinese-bert-wwm-ext,0,char,0,semantic_field,0.6694461049430623,0.7197809278350515,0.6941379310344827,0.06016597510373444,29,482
hfl/chinese-bert-wwm-ext,0,char,1,radical,0.48411445405115616,0.5656562660630822,0.4519351766223186,0.06454170631144941,68,6306
hfl/chinese-bert-wwm-ext,0,char,1,semantic_field,0.6602933082243427,0.709557560137457,0.6824137931034482,0.06016597510373444,29,482
hfl/chinese-bert-wwm-ext,0,mean,0,radical,0.49154073069675636,0.5775476912520061,0.4615486764235011,0.06454170631144941,68,6306
hfl/chinese-bert-wwm-ext,0,mean,0,semantic_field,0.6694461049430623,0.7197809278350515,0.6941379310344827,0.06016597510373444,29,482
hfl/chinese-bert-wwm-ext,0,mean,1,radical,0.48411445405115616,0.5656562660630822,0.4519351766223186,0.06454170631144941,68,6306
hfl/chinese-bert-wwm-ext,0,mean,1,semantic_field,0.6602933082243427,0.709557560137457,0.6824137931034482,0.06016597510373444,29,482
hfl/chinese-bert-wwm-ext,3,char,0,radical,0.4673020623535108,0.5513832631008772,0.4408309478041458,0.06454170631144941,68,6306
hfl/chinese-bert-wwm-ext,3,char,0,semantic_field,0.6434480462066668,0.6867268041237113,0.663448275862069,0.06016597510373444,29,482
hfl/chinese-bert-wwm-ext,3,char,1,radical,0.4552981938759978,0.5369509017947921,0.4295748719174425,0.06454170631144941,68,6306
hfl/chinese-bert-wwm-ext,3,char,1,semantic_field,0.6230433933882209,0.6743556701030928,0.6480459770114942,0.06016597510373444,29,482
hfl/chinese-bert-wwm-ext,3,mean,0,radical,0.4649455761698606,0.5488459716146092,0.4400183395168423,0.06454170631144941,68,6306
hfl/chinese-bert-wwm-ext,3,mean,0,semantic_field,0.6273893764563135,0.6742482817869415,0.6498850574712643,0.06016597510373444,29,482
hfl/chinese-bert-wwm-ext,3,mean,1,radical,0.45715759534501377,0.5398057788764735,0.43099243340879534,0.06454170631144941,68,6306
hfl/chinese-bert-wwm-ext,3,mean,1,semantic_field,0.6243570222880568,0.6764175257731959,0.6503448275862069,0.06016597510373444,29,482
hfl/chinese-bert-wwm-ext,6,char,0,radical,0.43314862332867765,0.517920021716973,0.41367648111037714,0.06454170631144941,68,6306
hfl/chinese-bert-wwm-ext,6,char,0,semantic_field,0.5749303952752228,0.6286297250859106,0.5957471264367816,0.06016597510373444,29,482
hfl/chinese-bert-wwm-ext,6,char,1,radical,0.4246376524126586,0.5093581553643312,0.40712139993305196,0.06454170631144941,68,6306
hfl/chinese-bert-wwm-ext,6,char,1,semantic_field,0.5912653247136006,0.6473367697594502,0.6149425287356322,0.06016597510373444,29,482
hfl/chinese-bert-wwm-ext,6,mean,0,radical,0.41991908365276354,0.5079277005772341,0.4011652657081267,0.06454170631144941,68,6306
hfl/chinese-bert-wwm-ext,6,mean,0,semantic_field,0.5701729687936584,0.6224226804123711,0.5896551724137931,0.06016597510373444,29,482
hfl/chinese-bert-wwm-ext,6,mean,1,radical,0.4160055403874635,0.5033306899286281,0.39676165343420944,0.06454170631144941,68,6306
hfl/chinese-bert-wwm-ext,6,mean,1,semantic_field,0.5797728325314532,0.6348797250859106,0.6028735632183907,0.06016597510373444,29,482
hfl/chinese-bert-wwm-ext,9,char,0,radical,0.40023128539814506,0.4846210400771153,0.3824370550922931,0.06454170631144941,68,6306
hfl/chinese-bert-wwm-ext,9,char,0,semantic_field,0.5782374330650193,0.6162371134020619,0.5964367816091954,0.06016597510373444,29,482
hfl/chinese-bert-wwm-ext,9,char,1,radical,0.39950627112649023,0.4843037058355567,0.3816676906994279,0.06454170631144941,68,6306
hfl/chinese-bert-wwm-ext,9,char,1,semantic_field,0.5713526703181875,0.6224871134020618,0.5936781609195403,0.06016597510373444,29,482
hfl/chinese-bert-wwm-ext,9,mean,0,radical,0.3895416552829459,0.4744698633012061,0.37321824369297885,0.06454170631144941,68,6306
hfl/chinese-bert-wwm-ext,9,mean,0,semantic_field,0.5458424334286404,0.5955111683848797,0.5691954022988506,0.06016597510373444,29,482
hfl/chinese-bert-wwm-ext,9,mean,1,radical,0.3842373314758532,0.4716156146041617,0.36868079969804046,0.06454170631144941,68,6306
hfl/chinese-bert-wwm-ext,9,mean,1,semantic_field,0.5518828298138643,0.6016752577319588,0.5805747126436781,0.06016597510373444,29,482
hfl/chinese-bert-wwm-ext,12,char,0,radical,0.3641779764268235,0.45639136297884486,0.3504096373859132,0.06454170631144941,68,6306
hfl/chinese-bert-wwm-ext,12,char,0,semantic_field,0.5583433807571738,0.6058634020618557,0.5835632183908045,0.06016597510373444,29,482
hfl/chinese-bert-wwm-ext,12,char,1,radical,0.360939569708101,0.4530602960194347,0.346515810503592,0.06454170631144941,68,6306
hfl/chinese-bert-wwm-ext,12,char,1,semantic_field,0.5480974772354082,0.6016752577319588,0.5767816091954023,0.06016597510373444,29,482
hfl/chinese-bert-wwm-ext,12,mean,0,radical,0.3438389087002877,0.4394262345558766,0.33523953123784833,0.06454170631144941,68,6306
hfl/chinese-bert-wwm-ext,12,mean,0,semantic_field,0.5345001741553466,0.5892182130584194,0.5591954022988506,0.06016597510373444,29,482
hfl/chinese-bert-wwm-ext,12,mean,1,radical,0.34448801772298276,0.4359359349295141,0.3340975758932919,0.06454170631144941,68,6306
hfl/chinese-bert-wwm-ext,12,mean,1,semantic_field,0.54543062301683,0.5913230240549827,0.5657471264367817,0.06016597510373444,29,482
