model,char,n_tokens,first_token,is_single,is_unk
mBERT,伸,1,伸,1,0
mBERT,伺,1,伺,1,0
mBERT,似,1,似,1,0
mBERT,伽,1,伽,1,0
mBERT,佃,1,佃,1,0
mBERT,但,1,但,1,0
mBERT,佇,1,佇,1,0
mBERT,佈,1,佈,1,0
mBERT,位,1,位,1,0
mBERT,低,1,低,1,0
mBERT,住,1,住,1,0
mBERT,佐,1,佐,1,0
mBERT,佑,1,佑,1,0
mBERT,体,1,体,1,0
mBERT,佔,1,佔,1,0
mBERT,何,1,何,1,0
mBERT,佗,1,佗,1,0
mBERT,佘,1,佘,1,0
mBERT,余,1,余,1,0
mBERT,佚,1,佚,1,0
mBERT,佛,1,佛,1,0
mBERT,作,1,作,1,0
mBERT,佝,1,[UNK],0,1
mBERT,佞,1,佞,1,0
mBERT,佟,1,佟,1,0
mBERT,你,1,你,1,0
mBERT,佢,1,佢,1,0
mBERT,佣,1,佣,1,0
mBERT,佤,1,佤,1,0
mBERT,佥,1,佥,1,0
mBERT,佩,1,佩,1,0
mBERT,佬,1,佬,1,0
mBERT,佯,1,佯,1,0
mBERT,佰,1,佰,1,0
mBERT,佳,1,佳,1,0
mBERT,併,1,併,1,0
mBERT,佶,1,佶,1,0
mBERT,佻,1,[UNK],0,1
mBERT,佼,1,佼,1,0
mBERT,使,1,使,1,0
mBERT,侃,1,侃,1,0
mBERT,侄,1,侄,1,0
mBERT,來,1,來,1,0
mBERT,侈,1,侈,1,0
mBERT,例,1,例,1,0
mBERT,侍,1,侍,1,0
mBERT,侏,1,侏,1,0
mBERT,侑,1,侑,1,0
mBERT,侖,1,侖,1,0
mBERT,侗,1,侗,1,0
mBERT,供,1,供,1,0
mBERT,依,1,依,1,0
mBERT,侠,1,侠,1,0
mBERT,価,1,価,1,0
mBERT,侣,1,侣,1,0
mBERT,侥,1,[UNK],0,1
mBERT,侦,1,侦,1,0
mBERT,侧,1,侧,1,0
mBERT,侨,1,侨,1,0
mBERT,侬,1,侬,1,0
mBERT,侮,1,侮,1,0
mBERT,侯,1,侯,1,0
mBERT,侵,1,侵,1,0
mBERT,侶,1,侶,1,0
mBERT,侷,1,[UNK],0,1
mBERT,便,1,便,1,0
mBERT,係,1,係,1,0
mBERT,促,1,促,1,0
mBERT,俄,1,俄,1,0
mBERT,俊,1,俊,1,0
mBERT,俎,1,俎,1,0
mBERT,俏,1,俏,1,0
mBERT,俐,1,俐,1,0
mBERT,俑,1,俑,1,0
mBERT,俗,1,俗,1,0
mBERT,俘,1,俘,1,0
mBERT,俚,1,俚,1,0
mBERT,保,1,保,1,0
mBERT,俞,1,俞,1,0
mBERT,俟,1,俟,1,0
mBERT,俠,1,俠,1,0
mBERT,信,1,信,1,0
mBERT,俨,1,俨,1,0
mBERT,俩,1,俩,1,0
mBERT,俪,1,俪,1,0
mBERT,俬,1,[UNK],0,1
mBERT,俭,1,俭,1,0
mBERT,修,1,修,1,0
mBERT,俯,1,俯,1,0
mBERT,俱,1,俱,1,0
mBERT,俳,1,俳,1,0
mBERT,俸,1,俸,1,0
mBERT,俺,1,俺,1,0
mBERT,俾,1,俾,1,0
mBERT,倆,1,倆,1,0
mBERT,倉,1,倉,1,0
mBERT,個,1,個,1,0
mBERT,倌,1,[UNK],0,1
mBERT,倍,1,倍,1,0
mBERT,倏,1,[UNK],0,1
mBERT,們,1,們,1,0
mBERT,倒,1,倒,1,0
mBERT,倔,1,[UNK],0,1
mBERT,倖,1,倖,1,0
mBERT,倘,1,倘,1,0
mBERT,候,1,候,1,0
mBERT,倚,1,倚,1,0
mBERT,倜,1,[UNK],0,1
mBERT,借,1,借,1,0
mBERT,倡,1,倡,1,0
mBERT,値,1,値,1,0
mBERT,倦,1,倦,1,0
mBERT,倩,1,倩,1,0
mBERT,倪,1,倪,1,0
mBERT,倫,1,倫,1,0
mBERT,倬,1,倬,1,0
mBERT,倭,1,倭,1,0
mBERT,倶,1,倶,1,0
mBERT,债,1,债,1,0
mBERT,值,1,值,1,0
mBERT,倾,1,倾,1,0
mBERT,偃,1,偃,1,0
mBERT,假,1,假,1,0
mBERT,偈,1,偈,1,0
mBERT,偉,1,偉,1,0
mBERT,偌,1,[UNK],0,1
mBERT,偎,1,[UNK],0,1
mBERT,偏,1,偏,1,0
mBERT,偕,1,偕,1,0
mBERT,做,1,做,1,0
mBERT,停,1,停,1,0
mBERT,健,1,健,1,0
mBERT,側,1,側,1,0
mBERT,偵,1,偵,1,0
mBERT,偶,1,偶,1,0
mBERT,偷,1,偷,1,0
mBERT,偻,1,[UNK],0,1
mBERT,偽,1,偽,1,0
mBERT,偿,1,偿,1,0
mBERT,傀,1,傀,1,0
mBERT,傅,1,傅,1,0
mBERT,傍,1,傍,1,0
mBERT,傑,1,傑,1,0
mBERT,傘,1,傘,1,0
mBERT,備,1,備,1,0
mBERT,傚,1,[UNK],0,1
mBERT,傢,1,傢,1,0
mBERT,傣,1,傣,1,0
mBERT,傥,1,[UNK],0,1
mBERT,储,1,储,1,0
mBERT,傩,1,[UNK],0,1
mBERT,催,1,催,1,0
mBERT,傭,1,傭,1,0
mBERT,傲,1,傲,1,0
mBERT,傳,1,傳,1,0
mBERT,債,1,債,1,0
mBERT,傷,1,傷,1,0
mBERT,傻,1,傻,1,0
mBERT,傾,1,傾,1,0
mBERT,僅,1,僅,1,0
mBERT,働,1,働,1,0
mBERT,像,1,像,1,0
mBERT,僑,1,僑,1,0
mBERT,僕,1,僕,1,0
mBERT,僖,1,僖,1,0
mBERT,僚,1,僚,1,0
mBERT,僥,1,[UNK],0,1
mBERT,僧,1,僧,1,0
mBERT,僭,1,僭,1,0
mBERT,僮,1,僮,1,0
mBERT,僱,1,僱,1,0
mBERT,僵,1,僵,1,0
mBERT,價,1,價,1,0
mBERT,僻,1,僻,1,0
mBERT,儀,1,儀,1,0
mBERT,儂,1,儂,1,0
mBERT,億,1,億,1,0
mBERT,儆,1,[UNK],0,1
mBERT,儉,1,儉,1,0
mBERT,儋,1,儋,1,0
mBERT,儒,1,儒,1,0
mBERT,儕,1,[UNK],0,1
mBERT,儘,1,儘,1,0
mBERT,償,1,償,1,0
mBERT,儡,1,儡,1,0
mBERT,優,1,優,1,0
mBERT,儲,1,儲,1,0
mBERT,儷,1,儷,1,0
mBERT,儼,1,儼,1,0
mBERT,儿,1,儿,1,0
mBERT,兀,1,兀,1,0
mBERT,允,1,允,1,0
mBERT,元,1,元,1,0
mBERT,兄,1,兄,1,0
mBERT,充,1,充,1,0
mBERT,兆,1,兆,1,0
mBERT,兇,1,兇,1,0
mBERT,先,1,先,1,0
mBERT,光,1,光,1,0
mBERT,克,1,克,1,0
mBERT,兌,1,兌,1,0
mBERT,免,1,免,1,0
mBERT,児,1,児,1,0
mBERT,兑,1,兑,1,0
mBERT,兒,1,兒,1,0
mBERT,兔,1,兔,1,0
mBERT,兖,1,兖,1,0
mBERT,党,1,党,1,0
mBERT,兜,1,兜,1,0
mBERT,兢,1,兢,1,0
mBERT,冬,1,冬,1,0
mBERT,冯,1,冯,1,0
mBERT,冰,1,冰,1,0
mBERT,冲,1,冲,1,0
mBERT,决,1,决,1,0
mBERT,况,1,况,1,0
mBERT,冶,1,冶,1,0
mBERT,冷,1,冷,1,0
mBERT,冻,1,冻,1,0
mBERT,冼,1,冼,1,0
mBERT,冽,1,[UNK],0,1
mBERT,冾,1,[UNK],0,1
mBERT,净,1,净,1,0
mBERT,凄,1,凄,1,0
mBERT,准,1,准,1,0
mBERT,凇,1,[UNK],0,1
mBERT,凈,1,[UNK],0,1
mBERT,凉,1,凉,1,0
mBERT,凋,1,凋,1,0
mBERT,凌,1,凌,1,0
mBERT,凍,1,凍,1,0
mBERT,减,1,减,1,0
mBERT,凑,1,凑,1,0
mBERT,凛,1,凛,1,0
mBERT,凜,1,凜,1,0
mBERT,凝,1,凝,1,0
mBERT,刀,1,刀,1,0
mBERT,刁,1,刁,1,0
mBERT,刃,1,刃,1,0
mBERT,分,1,分,1,0
mBERT,切,1,切,1,0
mBERT,刈,1,刈,1,0
mBERT,刊,1,刊,1,0
mBERT,刍,1,刍,1,0
mBERT,刎,1,刎,1,0
mBERT,刑,1,刑,1,0
mBERT,划,1,划,1,0
mBERT,列,1,列,1,0
mBERT,刘,1,刘,1,0
mBERT,则,1,则,1,0
mBERT,刚,1,刚,1,0
mBERT,创,1,创,1,0
mBERT,初,1,初,1,0
mBERT,删,1,删,1,0
mBERT,判,1,判,1,0
mBERT,別,1,別,1,0
mBERT,刨,1,[UNK],0,1
mBERT,利,1,利,1,0
mBERT,刪,1,刪,1,0
mBERT,别,1,别,1,0
mBERT,刮,1,刮,1,0
mBERT,到,1,到,1,0
mBERT,制,1,制,1,0
mBERT,刷,1,刷,1,0
mBERT,券,1,券,1,0
mBERT,刹,1,刹,1,0
mBERT,刺,1,刺,1,0
mBERT,刻,1,刻,1,0
mBERT,刽,1,[UNK],0,1
mBERT,剁,1,[UNK],0,1
mBERT,剂,1,剂,1,0
mBERT,剃,1,剃,1,0
mBERT,則,1,則,1,0
mBERT,剉,1,[UNK],0,1
mBERT,削,1,削,1,0
mBERT,剋,1,剋,1,0
mBERT,剌,1,剌,1,0
mBERT,前,1,前,1,0
mBERT,剎,1,剎,1,0
mBERT,剐,1,[UNK],0,1
mBERT,剑,1,剑,1,0
mBERT,剔,1,剔,1,0
mBERT,剖,1,剖,1,0
mBERT,剛,1,剛,1,0
mBERT,剜,1,[UNK],0,1
mBERT,剝,1,剝,1,0
mBERT,剣,1,剣,1,0
mBERT,剤,1,剤,1,0
mBERT,剥,1,剥,1,0
mBERT,剧,1,剧,1,0
mBERT,剩,1,剩,1,0
mBERT,剪,1,剪,1,0
mBERT,副,1,副,1,0
mBERT,割,1,割,1,0
mBERT,創,1,創,1,0
mBERT,剷,1,剷,1,0
mBERT,剽,1,剽,1,0
mBERT,剿,1,剿,1,0
mBERT,劃,1,劃,1,0
mBERT,劇,1,劇,1,0
mBERT,劈,1,劈,1,0
mBERT,劉,1,劉,1,0
mBERT,劊,1,[UNK],0,1
mBERT,劍,1,劍,1,0
mBERT,劏,1,[UNK],0,1
mBERT,劑,1,劑,1,0
mBERT,力,1,力,1,0
mBERT,劝,1,劝,1,0
mBERT,办,1,办,1,0
mBERT,功,1,功,1,0
mBERT,加,1,加,1,0
mBERT,务,1,务,1,0
mBERT,劣,1,劣,1,0
mBERT,动,1,动,1,0
mBERT,助,1,助,1,0
mBERT,努,1,努,1,0
mBERT,劫,1,劫,1,0
mBERT,劭,1,劭,1,0
mBERT,励,1,励,1,0
mBERT,劲,1,劲,1,0
mBERT,劳,1,劳,1,0
mBERT,労,1,労,1,0
mBERT,劵,1,[UNK],0,1
mBERT,効,1,効,1,0
mBERT,劾,1,劾,1,0
mBERT,势,1,势,1,0
mBERT,勁,1,勁,1,0
mBERT,勃,1,勃,1,0
mBERT,勇,1,勇,1,0
mBERT,勉,1,勉,1,0
mBERT,勋,1,勋,1,0
mBERT,勐,1,勐,1,0
mBERT,勒,1,勒,1,0
mBERT,動,1,動,1,0
mBERT,勖,1,勖,1,0
mBERT,勘,1,勘,1,0
mBERT,務,1,務,1,0
mBERT,勛,1,勛,1,0
mBERT,勝,1,勝,1,0
mBERT,勞,1,勞,1,0
mBERT,募,1,募,1,0
mBERT,勢,1,勢,1,0
mBERT,勤,1,勤,1,0
mBERT,勧,1,勧,1,0
mBERT,勳,1,勳,1,0
mBERT,勵,1,勵,1,0
mBERT,勸,1,勸,1,0
mBERT,厂,1,厂,1,0
mBERT,厄,1,厄,1,0
mBERT,厅,1,厅,1,0
mBERT,历,1,历,1,0
mBERT,厉,1,厉,1,0
mBERT,压,1,压,1,0
mBERT,厌,1,厌,1,0
mBERT,厕,1,厕,1,0
mBERT,厘,1,厘,1,0
mBERT,厚,1,厚,1,0
mBERT,厝,1,厝,1,0
mBERT,原,1,原,1,0
mBERT,厢,1,厢,1,0
mBERT,厥,1,厥,1,0
mBERT,厦,1,厦,1,0
mBERT,厨,1,厨,1,0
mBERT,厩,1,厩,1,0
mBERT,厭,1,厭,1,0
mBERT,厮,1,[UNK],0,1
mBERT,厲,1,厲,1,0
mBERT,厳,1,厳,1,0
mBERT,口,1,口,1,0
mBERT,古,1,古,1,0
mBERT,句,1,句,1,0
mBERT,另,1,另,1,0
mBERT,叨,1,[UNK],0,1
mBERT,叩,1,叩,1,0
mBERT,只,1,只,1,0
mBERT,叫,1,叫,1,0
mBERT,召,1,召,1,0
mBERT,叭,1,叭,1,0
mBERT,叮,1,叮,1,0
mBERT,可,1,可,1,0
mBERT,台,1,台,1,0
mBERT,叱,1,叱,1,0
mBERT,史,1,史,1,0
mBERT,右,1,右,1,0
mBERT,叵,1,[UNK],0,1
mBERT,叶,1,叶,1,0
mBERT,号,1,号,1,0
mBERT,司,1,司,1,0
mBERT,叹,1,叹,1,0
mBERT,叻,1,叻,1,0
mBERT,叼,1,[UNK],0,1
mBERT,叽,1,[UNK],0,1
mBERT,吁,1,吁,1,0
mBERT,吃,1,吃,1,0
mBERT,各,1,各,1,0
mBERT,吆,1,[UNK],0,1
mBERT,合,1,合,1,0
mBERT,吉,1,吉,1,0
mBERT,吊,1,吊,1,0
mBERT,吋,1,吋,1,0
mBERT,同,1,同,1,0
mBERT,名,1,名,1,0
mBERT,后,1,后,1,0
mBERT,吏,1,吏,1,0
mBERT,吐,1,吐,1,0
mBERT,向,1,向,1,0
mBERT,吒,1,吒,1,0
mBERT,吓,1,吓,1,0
mBERT,吕,1,吕,1,0
mBERT,吖,1,[UNK],0,1
mBERT,吗,1,吗,1,0
mBERT,君,1,君,1,0
mBERT,吝,1,吝,1,0
mBERT,吞,1,吞,1,0
mBERT,吟,1,吟,1,0
mBERT,吠,1,吠,1,0
mBERT,吡,1,吡,1,0
mBERT,否,1,否,1,0
mBERT,吧,1,吧,1,0
mBERT,吨,1,吨,1,0
mBERT,吩,1,吩,1,0
mBERT,含,1,含,1,0
mBERT,听,1,听,1,0
mBERT,吭,1,[UNK],0,1
mBERT,吮,1,[UNK],0,1
mBERT,启,1,启,1,0
mBERT,吱,1,[UNK],0,1
mBERT,吳,1,吳,1,0
mBERT,吴,1,吴,1,0
mBERT,吵,1,吵,1,0
mBERT,吶,1,吶,1,0
mBERT,吸,1,吸,1,0
mBERT,吹,1,吹,1,0
mBERT,吻,1,吻,1,0
mBERT,吼,1,吼,1,0
mBERT,吽,1,[UNK],0,1
mBERT,吾,1,吾,1,0
mBERT,呀,1,呀,1,0
mBERT,呂,1,呂,1,0
mBERT,呃,1,[UNK],0,1
mBERT,呆,1,呆,1,0
mBERT,呈,1,呈,1,0
mBERT,告,1,告,1,0
mBERT,呋,1,呋,1,0
mBERT,呎,1,呎,1,0
mBERT,呐,1,呐,1,0
mBERT,呓,1,[UNK],0,1
mBERT,呕,1,呕,1,0
mBERT,呗,1,[UNK],0,1
mBERT,员,1,员,1,0
mBERT,呛,1,呛,1,0
mBERT,呜,1,呜,1,0
mBERT,呢,1,呢,1,0
mBERT,呤,1,呤,1,0
mBERT,呦,1,[UNK],0,1
mBERT,周,1,周,1,0
mBERT,呱,1,[UNK],0,1
mBERT,呲,1,[UNK],0,1
mBERT,味,1,味,1,0
mBERT,呵,1,呵,1,0
mBERT,呷,1,[UNK],0,1
mBERT,呸,1,[UNK],0,1
mBERT,呻,1,[UNK],0,1
mBERT,呼,1,呼,1,0
mBERT,命,1,命,1,0
mBERT,咀,1,咀,1,0
mBERT,咁,1,咁,1,0
mBERT,咂,1,[UNK],0,1
mBERT,咄,1,咄,1,0
mBERT,咆,1,咆,1,0
mBERT,咋,1,咋,1,0
mBERT,和,1,和,1,0
mBERT,咎,1,咎,1,0
mBERT,咏,1,咏,1,0
mBERT,咐,1,咐,1,0
mBERT,咒,1,咒,1,0
mBERT,咔,1,[UNK],0,1
mBERT,咕,1,咕,1,0
mBERT,咖,1,咖,1,0
mBERT,咗,1,[UNK],0,1
mBERT,咘,1,[UNK],0,1
mBERT,咙,1,[UNK],0,1
mBERT,咚,1,[UNK],0,1
mBERT,咛,1,[UNK],0,1
mBERT,咣,1,[UNK],0,1
mBERT,咤,1,咤,1,0
mBERT,咦,1,[UNK],0,1
mBERT,咧,1,[UNK],0,1
mBERT,咨,1,咨,1,0
mBERT,咩,1,咩,1,0
mBERT,咪,1,咪,1,0
mBERT,咫,1,咫,1,0
mBERT,咬,1,咬,1,0
mBERT,咭,1,[UNK],0,1
mBERT,咯,1,咯,1,0
mBERT,咱,1,咱,1,0
mBERT,咲,1,咲,1,0
mBERT,咳,1,咳,1,0
mBERT,咸,1,咸,1,0
mBERT,咻,1,[UNK],0,1
mBERT,咽,1,咽,1,0
mBERT,咿,1,[UNK],0,1
mBERT,哀,1,哀,1,0
mBERT,品,1,品,1,0
mBERT,哂,1,[UNK],0,1
mBERT,哄,1,哄,1,0
mBERT,哆,1,哆,1,0
mBERT,哇,1,哇,1,0
mBERT,哈,1,哈,1,0
mBERT,哉,1,哉,1,0
mBERT,哋,1,[UNK],0,1
mBERT,哌,1,哌,1,0
mBERT,响,1,响,1,0
mBERT,哎,1,[UNK],0,1
mBERT,哏,1,[UNK],0,1
mBERT,哐,1,[UNK],0,1
mBERT,哑,1,哑,1,0
mBERT,哒,1,[UNK],0,1
mBERT,哔,1,[UNK],0,1
mBERT,哗,1,哗,1,0
mBERT,哟,1,[UNK],0,1
mBERT,員,1,員,1,0
mBERT,哥,1,哥,1,0
mBERT,哦,1,哦,1,0
mBERT,哧,1,[UNK],0,1
mBERT,哨,1,哨,1,0
mBERT,哩,1,哩,1,0
mBERT,哪,1,哪,1,0
mBERT,哭,1,哭,1,0
mBERT,哮,1,哮,1,0
mBERT,哲,1,哲,1,0
mBERT,哺,1,哺,1,0
mBERT,哼,1,哼,1,0
mBERT,哽,1,[UNK],0,1
mBERT,唁,1,唁,1,0
mBERT,唄,1,唄,1,0
mBERT,唆,1,唆,1,0
mBERT,唇,1,唇,1,0
mBERT,唉,1,[UNK],0,1
mBERT,唏,1,[UNK],0,1
mBERT,唐,1,唐,1,0
mBERT,唑,1,唑,1,0
mBERT,唔,1,唔,1,0
mBERT,唠,1,[UNK],0,1
mBERT,唤,1,唤,1,0
mBERT,唧,1,[UNK],0,1
mBERT,唬,1,[UNK],0,1
mBERT,售,1,售,1,0
mBERT,唯,1,唯,1,0
mBERT,唰,1,[UNK],0,1
mBERT,唱,1,唱,1,0
mBERT,唳,1,[UNK],0,1
mBERT,唷,1,[UNK],0,1
mBERT,唸,1,唸,1,0
mBERT,唾,1,唾,1,0
mBERT,啃,1,[UNK],0,1
mBERT,啄,1,啄,1,0
mBERT,商,1,商,1,0
mBERT,啉,1,啉,1,0
mBERT,啊,1,啊,1,0
mBERT,問,1,問,1,0
mBERT,啓,1,啓,1,0
mBERT,啕,1,[UNK],0,1
mBERT,啖,1,啖,1,0
mBERT,啜,1,啜,1,0
mBERT,啞,1,啞,1,0
mBERT,啡,1,啡,1,0
mBERT,啤,1,啤,1,0
mBERT,啥,1,[UNK],0,1
mBERT,啦,1,啦,1,0
mBERT,啧,1,[UNK],0,1
mBERT,啪,1,[UNK],0,1
mBERT,啫,1,[UNK],0,1
mBERT,啬,1,[UNK],0,1
mBERT,啮,1,啮,1,0
mBERT,啰,1,啰,1,0
mBERT,啱,1,[UNK],0,1
mBERT,啲,1,[UNK],0,1
mBERT,啵,1,[UNK],0,1
mBERT,啶,1,啶,1,0
mBERT,啷,1,[UNK],0,1
mBERT,啸,1,啸,1,0
mBERT,啻,1,[UNK],0,1
mBERT,啼,1,啼,1,0
mBERT,啾,1,啾,1,0
mBERT,喀,1,喀,1,0
mBERT,喂,1,喂,1,0
mBERT,喃,1,喃,1,0
mBERT,善,1,善,1,0
mBERT,喆,1,喆,1,0
mBERT,喇,1,喇,1,0
mBERT,喉,1,喉,1,0
mBERT,喊,1,喊,1,0
mBERT,喋,1,喋,1,0
mBERT,喎,1,[UNK],0,1
mBERT,喏,1,[UNK],0,1
mBERT,喔,1,喔,1,0
mBERT,喘,1,喘,1,0
mBERT,喙,1,喙,1,0
mBERT,喚,1,喚,1,0
mBERT,喜,1,喜,1,0
mBERT,喝,1,喝,1,0
mBERT,喟,1,[UNK],0,1
mBERT,喧,1,喧,1,0
mBERT,喪,1,喪,1,0
mBERT,喫,1,喫,1,0
mBERT,喬,1,喬,1,0
mBERT,單,1,單,1,0
mBERT,喰,1,喰,1,0
mBERT,喱,1,喱,1,0
mBERT,喲,1,[UNK],0,1
mBERT,喳,1,[UNK],0,1
mBERT,喵,1,喵,1,0
mBERT,営,1,営,1,0
mBERT,喷,1,喷,1,0
mBERT,喹,1,[UNK],0,1
mBERT,喺,1,[UNK],0,1
mBERT,喻,1,喻,1,0
mBERT,喽,1,[UNK],0,1
mBERT,嗅,1,嗅,1,0
mBERT,嗆,1,[UNK],0,1
mBERT,嗇,1,[UNK],0,1
mBERT,嗎,1,嗎,1,0
mBERT,嗑,1,[UNK],0,1
mBERT,嗒,1,[UNK],0,1
mBERT,嗓,1,嗓,1,0
mBERT,嗔,1,[UNK],0,1
mBERT,嗖,1,[UNK],0,1
mBERT,嗚,1,嗚,1,0
mBERT,嗜,1,嗜,1,0
mBERT,嗝,1,[UNK],0,1
mBERT,嗟,1,嗟,1,0
mBERT,嗡,1,[UNK],0,1
mBERT,嗣,1,嗣,1,0
mBERT,嗤,1,[UNK],0,1
mBERT,嗦,1,[UNK],0,1
mBERT,嗨,1,[UNK],0,1
mBERT,嗪,1,嗪,1,0
mBERT,嗬,1,[UNK],0,1
mBERT,嗯,1,[UNK],0,1
mBERT,嗰,1,[UNK],0,1
mBERT,嗲,1,[UNK],0,1
mBERT,嗳,1,[UNK],0,1
mBERT,嗶,1,[UNK],0,1
mBERT,嗷,1,[UNK],0,1
mBERT,嗽,1,嗽,1,0
mBERT,嘀,1,[UNK],0,1
mBERT,嘅,1,嘅,1,0
mBERT,嘆,1,嘆,1,0
mBERT,嘈,1,[UNK],0,1
mBERT,嘉,1,嘉,1,0
mBERT,嘌,1,嘌,1,0
mBERT,嘍,1,[UNK],0,1
mBERT,嘎,1,嘎,1,0
mBERT,嘔,1,嘔,1,0
mBERT,嘖,1,[UNK],0,1
mBERT,嘗,1,嘗,1,0
mBERT,嘘,1,嘘,1,0
mBERT,嘚,1,[UNK],0,1
mBERT,嘛,1,嘛,1,0
mBERT,嘜,1,[UNK],0,1
mBERT,嘞,1,[UNK],0,1
mBERT,嘟,1,嘟,1,0
mBERT,嘢,1,嘢,1,0
mBERT,嘣,1,[UNK],0,1
mBERT,嘤,1,[UNK],0,1
mBERT,嘧,1,嘧,1,0
mBERT,嘩,1,嘩,1,0
mBERT,嘭,1,[UNK],0,1
mBERT,嘮,1,[UNK],0,1
mBERT,嘯,1,嘯,1,0
mBERT,嘰,1,[UNK],0,1
mBERT,嘱,1,嘱,1,0
mBERT,嘲,1,嘲,1,0
mBERT,嘴,1,嘴,1,0
mBERT,嘶,1,嘶,1,0
mBERT,嘸,1,[UNK],0,1
mBERT,嘹,1,[UNK],0,1
mBERT,嘻,1,嘻,1,0
mBERT,嘿,1,嘿,1,0
mBERT,噁,1,噁,1,0
mBERT,噌,1,噌,1,0
mBERT,噎,1,[UNK],0,1
mBERT,噓,1,[UNK],0,1
mBERT,噔,1,[UNK],0,1
mBERT,噗,1,噗,1,0
mBERT,噙,1,[UNK],0,1
mBERT,噜,1,噜,1,0
mBERT,噠,1,[UNK],0,1
mBERT,噢,1,[UNK],0,1
mBERT,噤,1,[UNK],0,1
mBERT,器,1,器,1,0
mBERT,噩,1,噩,1,0
mBERT,噪,1,噪,1,0
mBERT,噬,1,噬,1,0
mBERT,噱,1,[UNK],0,1
mBERT,噴,1,噴,1,0
mBERT,噶,1,噶,1,0
mBERT,噸,1,噸,1,0
mBERT,噹,1,噹,1,0
mBERT,噻,1,噻,1,0
mBERT,噼,1,[UNK],0,1
mBERT,嚀,1,[UNK],0,1
mBERT,嚇,1,嚇,1,0
mBERT,嚎,1,嚎,1,0
mBERT,嚏,1,[UNK],0,1
mBERT,嚐,1,[UNK],0,1
mBERT,嚓,1,[UNK],0,1
mBERT,嚕,1,嚕,1,0
mBERT,嚟,1,[UNK],0,1
mBERT,嚣,1,嚣,1,0
mBERT,嚥,1,[UNK],0,1
mBERT,嚨,1,[UNK],0,1
mBERT,嚮,1,嚮,1,0
mBERT,嚴,1,嚴,1,0
mBERT,嚷,1,[UNK],0,1
mBERT,嚼,1,嚼,1,0
mBERT,囂,1,囂,1,0
mBERT,囉,1,囉,1,0
mBERT,囊,1,囊,1,0
